name,populationFemale,populationMale,populationUrban,adultLiteracy,educationExpenditure,gILGenderEquality,maternalMortalityRate,educationIndex,healthIndex,humanDevelopmentIndex,healthExpendature,lifeExpectancy,carbonDioxideInTons,endangeredSpeciesPercent,forrestAreaInThousandsOfHectares
Sudan*,"22,145.13","22,487.28",40.8,70.2,,0.611,750,0.247,0.654,0.408,1.3,61.5,0.3,5,"70,057"
Suriname,264.01,265.41,69.8,,,,100,0.636,0.798,0.68,3.6,70.6,4.7,3,"14,765"
Swaziland,611.2,592.13,21.3,86.9,,0.546,420,0.578,0.453,0.522,3.8,48.7,1,2,554
Sweden,"4,735.89","4,704.86",84.8,,,0.049,5,0.904,0.969,0.904,7.4,81.4,5.3,5,"28,203"
Switzerland,"3,913.98","3,787.71",73.7,,,0.067,10,0.872,0.983,0.903,6.4,82.3,5.3,6,"1,231"
Syrian Arab Republic,"10,261.10","10,504.94",56.2,84.2,,0.474,46,0.534,0.881,0.632,1.6,75.9,3.4,13,479
Tajikistan,"3,547.49","3,429.47",26.4,99.7,,0.347,64,0.704,0.75,0.607,1.1,67.5,0.5,6,410
Tanzania,"23,124.93","23,093.55",26.9,72.9,,0.59,790,0.454,0.603,0.466,3.5,58.2,0.1,12,"34,235"
Thailand,"35,361.09","34,157.47",34.4,,4.1,0.382,48,0.597,0.854,0.682,2.7,74.1,4.3,14,"18,942"
The former Yugoslav Republic of Macedonia,"1,030.05","1,033.85",59.4,97.1,,0.151,9,0.696,0.865,0.728,4.7,74.8,5.8,14,989
Timor-Leste,565.69,588.14,28.6,,16.8,,370,0.371,0.67,0.495,11.5,62.5,0.2,5,764
Togo,"3,106.58","3,048.23",44.1,,4.6,0.602,350,0.473,0.585,0.435,1.5,57.1,0.2,4,327
Tonga,52.16,52.35,23.5,,,,,0.79,0.825,0.704,3.1,72.3,1.7,10,9
Trinidad and Tobago,694.22,652.13,14.2,98.7,,0.331,55,0.712,0.791,0.76,2.7,70.1,37.3,6,228
Tunisia,"5,299.18","5,294.88",67.7,,,0.293,60,0.645,0.86,0.698,3,74.5,2.5,11,973
Turkey,"36,915.96","36,723.63",70.1,90.8,,0.443,23,0.583,0.851,0.699,3.4,74,3.9,15,"11,096"
Turkmenistan,"2,592.42","2,512.88",50,99.6,,,77,0.739,0.71,0.686,1.4,65,9.5,8,"4,127"
Tuvalu,,,50.9,,,,,,0.744,,,67.2,,15,1
Uganda,"17,256.58","17,252.63",13.5,,3.2,0.577,430,0.475,0.538,0.446,1.6,54.1,0.1,7,"3,164"
Ukraine,"24,403.16","20,787.02",69.1,99.7,,0.335,26,0.858,0.765,0.729,4,68.5,7,8,"9,653"
United Arab Emirates,"2,409.24","5,481.69",84.4,,1.2,0.234,10,0.741,0.892,0.846,1.9,76.5,34.6,9,315
United Kingdom,"31,683.07","30,734.36",79.8,,,0.209,12,0.815,0.949,0.863,6.9,80.2,8.5,10,"2,867"
United States,"158,523.57","154,561.81",82.6,,,0.299,24,0.939,0.923,0.91,7.1,78.5,17.3,21,"303,256"
Uruguay,"1,748.34","1,631.67",92.6,98.3,,0.352,27,0.763,0.899,0.783,5.9,77,2.5,12,"1,654"
Uzbekistan,"13,961.72","13,798.55",36.3,99.3,,,30,0.711,0.762,0.641,2.3,68.3,4.6,7,"3,283"
Vanuatu,120.53,125.09,26,82,4.8,,,0.554,0.805,0.617,2.7,71,0.4,14,440
Venezuela,"14,670.70","14,766.19",93.6,,,0.447,68,0.692,0.858,0.735,2.7,74.4,6,8,"46,850"
Viet Nam,"44,886.50","43,905.50",31,92.8,,0.305,56,0.503,0.87,0.593,2.8,75.2,1.5,12,"13,509"
Yemen,"12,318.96","12,480.92",32.4,62.4,,0.769,210,0.31,0.718,0.462,1.5,65.5,1,10,549
Zambia,"6,720.32","6,754.64",35.9,70.9,,0.627,470,0.48,0.458,0.43,3.6,49,0.1,3,"49,801"
Zimbabwe,"6,463.19","6,291.19",38.8,91.9,,0.583,790,0.566,0.495,0.376,4.1,51.4,0.7,3,"16,278"
